Week,Date,Plan,Acutal,RPE (1-10),心情 (1-5),Feeling,Feedback
,23/1/2026,,7.62k@36:56/4:51,2,,"I was trying to raise my speed and I didn't feel the pain while in the middle of the run, my breath was not worsen cause I haven't run for a while, I'll need to pick up my program again ","•	Toe tolerated faster-than-easy pace
	•	No mechanical pain signal
	•	Cardiovascular system felt relaxed
	•	Your “easy” pace has drifted faster than before the break (normal after rest)"
,24/1/2026,,,,,,
,25/1/2026,,17.76k@1:13:23/5:09,2,,"My feet hurts a bit since my toes cannot bend, it's not muscle pain but the tendon stretch too much. Stopped a few times then it's fine, I should be able to run the half marathon but with a slower pace next week","Positives ✅
	•	Aerobically this was very comfortable
	•	Distance tolerance is there
	•	You managed symptoms by stopping → good awareness
	•	No muscle damage signs

Concern ⚠️ (this is the key)

“Toes cannot bend… tendon stretch too much”

That phrase is important.

This points to:
	•	Big toe flexor / plantar tendon still stiff
	•	Limited toe extension under fatigue
	•	Load tolerance still just below race-level stress

This is not dangerous, but it’s not healed yet."
,26/1/2026,,,,,,
,27/1/2026,,,,,,
,28/1/2026,,,,,,
,29/1/2026,,,,,,
,30/1/2026,,,,,,
,31/1/2026,,,,,,
,1/2/2026,横浜ハーフマラソン,21.17@1:44:40/4:57,3,,"This half marathon was a tough one, I was late to the race and my belly was having some issue, glad I found a toilet. I barely store my luggage and start the run without proper warming up. 

My left stomach hurt until 15k after I ate some gel, maybe it was caused by not warming up enough or eating a onigiri before the run and didn't give it enough time to digest. The feet also hurt throughout the whole race, the original toe pain was gone in the middle of the run but seems my heel was hurt by me constantly walking, but glad it was not the damage from my previous bike crash. I also stopped myself from going faster, telling myself this was not worth it since the full marathon is the main game, I pace myself precisely around 5min, it obviously have faster and slower moment but I manage to control and have discipline throughout the race. 

It was better than I expected as the pain was gone, just 1-2 pain from my heel but that would be gone just resting for a few days. I could start the training for my marathon again","What you did right ✅

You did not race your fitness

You locked into ~5:00/km and stayed there

You ignored competitive impulses

You protected March 29 as the priority

That’s textbook “training race” execution.

About the stomach issue

This was almost certainly:

Late start → stress spike

Onigiri too close to gun time

No warm-up → blood flow redistribution shock

Gel taken while already under GI stress

None of this reflects your fitness.

Fixable, easily."
,2/2/2026,Rest or 20–30 min very easy,,,,,
,3/2/2026,,,,,,
,4/2/2026,Off or 30 min recovery jog,6:36k@31:38/4:58,2,,"Easy run, felt my strength dropped by a lot, running around 5min will need to stop for a few times. The race is only 2months from now, I am probably not being able to pick up the pace again. The pain is almost all gone but just the joint is a bit stiff, will need to pick up the miles and include some interval in the program","You called this an easy run, but objectively:

4:58/km is not recovery pace for you

You ran it 2–3 days after a half marathon

With recent injury + travel fatigue

Stopping a few times at that pace right now is normal, not alarming.

This does not mean your strength “dropped a lot.”
It means you tried to run too fast for the recovery window."
,5/2/2026,,10.65k@57:26/5:24,2,,"Actual recovery run, take it easy and didn't stop in the middle. Was planning to go to running club but as you suggest I shouldn't be doing HIIT then I just go run by myself","This is the strongest signal we’ve had since your half marathon.

It shows:

✅ You can run continuously again

✅ Easy pace is naturally returning to the 5:20–5:30 range

✅ Aerobic efficiency is intact

✅ No protective gait or forced stops

✅ Recovery from the half marathon is progressing normally

Most importantly:
You didn’t force it. You let it come to you. That’s why it worked."
,6/2/2026,"40 min total

35 min easy @ 5:35–5:50/km

Then 4 × 15–20s relaxed strides",18.44k@1:41:34/5:30,2,,"Didn't felt any pain or fatigue in my legs, this distance is still easy for my current physical conditions. It's just running at night after work and I am pretty hungry. I forgot to buy any energy gel with me so I was eagerly going for dinner after the run. I still ran the long run in consecutive day as sat and sun is really snowing and I am not able to run. I will be taking rest for both of the days","First: did you mess up by running 3 days straight?
No. And here’s why.
All three runs were low effort (RPE 2)
Pace was controlled, not drifting
You explicitly reported no pain, no leg fatigue
The “long run” was still well within aerobic comfort for your current fitness
That combo matters more than calendar spacing.
Recovery is about stress × intensity, not just “number of days in a row.”
Three easy days ≠ three hard days.
If this had been:
tempo + intervals + long → I’d stop you immediately
or if you felt stiffness, dead legs, poor sleep → red flag
But none of those happened.
So from a coaching standpoint: this was a smart adaptation to weather, not a panic move.
The real issue I care about (and you should too)
Not your legs.
Fueling.
Running 18 km at night, fasted-ish, hungry, no gel is the one thing I don’t love.
Not because it ruins today — but because:
It increases stress hormones
It slows recovery after
It trains your body to associate long runs with depletion
You got away with it because your aerobic base is solid. Don’t make it a habit.
Rule going forward
75–80 min → bring something (gel, candy, sports drink)
Night runs after work are not the time to play glycogen chicken"
,7/2/2026,"90 minutes
Pace: 5:35–5:55/km",,,,,
,8/2/2026,,,,,,
,9/2/2026,"10–12 km easy @ 5:30–5:45/km

Then 4–6 × 20s relaxed strides",10.62k@54:08/5:06,2,,"A run that felt good. Although running after dinner, I can let it digest for some time and just run in my own pace. I didn't felt going faster than expected, wasn't checking my watch that close and this pace wasn't force but easy run. I did a few stride at the end of the run also.","1️⃣ Your aerobic engine didn’t disappear

Even after:
	•	Toe injury
	•	Forced downtime
	•	A scrappy half marathon
	•	Cold weather + fatigue

You’re naturally settling around ~5:05/km when relaxed.
That’s exactly what I’d expect from a sub-3:10 candidate.

This isn’t fitness loss — it’s rust, and rust comes off fast.

⸻

2️⃣ Your effort–pace relationship is healthy again

Easy pace feels easy.
No breath stress, no forcing, no watch checking.

That’s a green light to:
	•	Keep easy days truly easy
	•	Start structured quality again (carefully)

⸻

3️⃣ The toe is no longer dictating your stride

Strides at the end with no guarding = ✔️
This is the biggest signal that we can progress.

Still:
	•	Walking stiffness ≠ running readiness
	•	We manage load, not ignore it"
,10/2/2026,,,,,,
,11/2/2026,"3 km easy warm-up

3 × 10 min @ ~4:45–4:50/km

2 min easy jog between

2–3 km cool-down",,,,,
,12/2/2026,"8–10 km easy @ 5:35–5:55/km

NO HIIT",13.87k@1:07:57/4:54,6,,"The run is actually tiring, I did the two laps instead of 3. Going faster pace drains the stamina fast but refreshing, nice run ",
,13/2/2026,,,,,,
,14/2/2026,"18–20 km @ 5:25–5:45/km

Last 3–4 km gently progressive → ~5:05–5:15/km

Fuel: gel or carbs around 60 min",22.14k@1:54:55/5:11,4,,"Almost twist my feet when some random kids run around, now my right toes was twist a bit too but not too serious, can run and walk without issue. Today was a bit hot so the run was tougher, I stopped a few times towards the end of the run","That’s a solid effort. Maybe a bit too solid.

5:11/km average for 22 km means you ran a large portion quicker than prescribed.

RPE 4 is still controlled, but you are drifting toward “training on feel” instead of executing structure.
"
,15/2/2026,,,,,,
,16/2/2026,"12 km easy
5:25–5:45/km",,,,,
,17/2/2026,,"1.98k@10:24/5:15
11.23k@59:12/5:16",2,,"Accidentally stopped the watch thus separating the run in two. Simply go with the flow easy run, felt the pain in the feet cause I didn't run properly. I was kind of bending my toes a bit due to the injury, but in this run I try ignoring it and run straightly, the pain was gone and the run was smooth, really easy run didn't felt any struggle this run","~13 km at 5:16/km (RPE 2) confirms aerobic fitness is strong and easy pace is naturally improving. The key takeaway was mechanical — when I stopped subconsciously guarding the previously injured toe and ran with normal push-off mechanics, the discomfort disappeared, indicating the issue was protective compensation rather than active tissue irritation. Effort remained genuinely easy, though pace drifted slightly faster than prescribed, which is not harmful now but requires discipline to avoid accumulating gray-zone fatigue over time. Overall this was a stable aerobic run with positive biomechanical feedback and no signs of overload."
,18/2/2026,"•	3 km easy
	•	3 × 12 min @ 4:40–4:45/km
	•	2–3 min easy jog
	•	2–3 km cool down","3.44k@18:01
7.67k@36:12/4:43
2.19k@11:34",6,,"Easy run for warm up and cool down. Actually I was not getting used to this pace now as I haven't been running fast for some time, the first rep was a bit rough for me and I thought I cannot kept the pace. Until the second or the third rep, I started picking up the pace. Still this shouldn't be hard for me in the past, 443 was simply a faster warm up for me. I might need to train my speed a little more?","Completed 3 × 12 min at ~4:43/km (RPE 6). First rep felt uncomfortable due to lack of recent threshold exposure, but rhythm improved significantly by the second and third reps, indicating aerobic capacity is intact and lactate clearance simply needed activation. Effort remained controlled and sustainable, appropriate for marathon-specific threshold work. No signs of speed loss—this was a rhythm readjustment rather than a fitness limitation. Session confirms current fitness is stable and progressing appropriately toward marathon specificity."
,19/2/2026,"8–10 km
5:35–5:55/km","5.30k@32:53/6:13
1 hr hiit",2,,"Easy run and hiit with running club, was nice seeing friend but some hiit was tired for my toe","5.3 km very easy at 6:13/km served as proper recovery after threshold session. However, the additional 1-hour HIIT introduced multi-directional and high-impact stress, which caused noticeable toe fatigue. While no acute pain was reported, this type of instability load carries higher risk during marathon-specific preparation and should be limited moving forward. Overall recovery remains good, but non-running intensity must be managed carefully to protect foot durability."
,20/2/2026,,,,,,
,21/2/2026,"24 km total

Structure:
	•	16 km @ 5:25–5:40
	•	6 km @ 4:55–5:00
	•	2 km easy cool down",25:49k@2:14:46/5:17,3,,"Good long run, haven't been running along the river after I moved. The weather was warmer and I can run with constant pace, running along side some marathon racer and might brought myself a bit faster. I did bring up the pace a bit at the end.","25.5 km long run at 5:17/km (RPE 3) demonstrates strong aerobic durability and controlled effort in warmer conditions. Marathon-pace segment was executed smoothly with slight pace lift toward the end without significant strain, indicating improving endurance and pace control. Running alongside other marathoners provided positive rhythm reinforcement without overexertion. Overall session confirms stable fitness progression and readiness to gradually increase marathon-specific workload in the coming weeks.
"
,22/2/2026,,,,,,
,23/2/2026,"12–13 km easy
5:25–5:45/km",10.56k@58:08/5:30,3,,"Maybe it's not enough sleep, with this pace I still feel a bit out of breath when I'm running in the beginning few km. In general it was a easy run but I didn't finish 12 since I want to order my breakfast and the breakfast hour is almost finished","10.6 km easy at 5:30/km (RPE 3) showed mild early breathing discomfort likely due to residual long-run fatigue and suboptimal sleep, but effort normalized after initial kilometers. Overall aerobic effort remained controlled and no mechanical issues were present. Slightly elevated perceived effort indicates normal training load accumulation during peak phase rather than overreaching. Shortening the run due to external timing constraints was appropriate given its recovery purpose.
"
,24/2/2026,,,,,,
,25/2/2026,"3 km easy
2 × 18 min @ 4:38–4:45/km
3 min easy jog between
2–3 km cool down",,,,,
,26/2/2026,"8–10 km
5:35–6:00/km","3.43k@17:27
8.20k@38.03/4:39
3.79k@19.02",5,,"I push back the quality program for one day as it's raining. Not sure it's the training actually works or I had coffee or I wore back my old boston 12 which is perfectly fit my feet. This run went super well and I am not very tired in the run, I could even go faster and run more after the program","Completed 2 × 18 min threshold session averaging 4:39/km with RPE 5. Effort remained controlled throughout and athlete reported ability to extend pace, indicating strong aerobic condition without overreaching. Mechanical response was stable and session was executed with appropriate restraint. Training adaptation trending positively entering peak marathon-specific block."
,27/2/2026,,12.48k@1:07:26/5:24,2,,"Easy slow jog, going further than I expected, went for sushi at around 9k and run back home afterwards. Chill and nice run","12.48 km easy at 5:24/km (RPE 2) the day after threshold session. Effort remained very light with no residual fatigue, indicating strong aerobic recovery and good training absorption. Athlete extended distance naturally without strain, demonstrating improving endurance durability. Overall condition remains stable entering next key session."
,28/2/2026,"26–27 km total

Structure:
	•	14–16 km @ 5:25–5:40
	•	8–10 km @ 4:55–5:00
	•	1–2 km easy cool down",28.08k@2:20:25/5:00,4,,"The average pace was faster than I expected, I was chill running today but maybe the weather today is too good I just go faster a bit. Today is sunny and not too cold, I was wearing more than I should be and maybe I can go even faster if I am wearing short pants. I am actually do negative pacing, I checked the split and it was around 5min in the first half and 4min ish in the last. Strong finish and I can go for more next week","Completed 28.08 km long run averaging 5:00/km with negative split and RPE 4. Session exceeded planned volume slightly and evolved into a progressive sustained aerobic effort rather than strictly structured pace blocks. Athlete demonstrated strong aerobic control and finished with reserve, indicating improving endurance capacity. Load was significant but manageable; consolidation and controlled progression next week are advised."
,1/3/2026,,,,,,
,2/3/2026,"8–10 km
5:40–6:00/km",9.33k@50:05/5:22,2,,"Easy jog, just a few round in my local park. Easy and no pain",9.33 km easy at 5:22/km (RPE 2). Effort remained light with no residual fatigue or foot discomfort following prior long run. Aerobic efficiency continues to improve as moderate paces feel relaxed. Session served as effective recovery and circulation stimulus heading into quality midweek work.
,3/3/2026,,,,,,
,4/3/2026,"3 km easy
3 × 12–15 min @ 4:40–4:45/km
3 min jog between
2–3 km cool down","3.43k@17:42
10.03k@46:58/4:41
1.11k@5:36",4,,"I was mistaken the pace at the first rep, I thought it was 4:50-5 min so I was slower than the expected pace. Though in the next 2 rep I feel like I'm doing ok so I went faster and at last the pace was around the original expected pace. Good and quality session","Threshold session completed with 3 × ~15 min averaging 4:41/km after a 3.4 km warm-up. The first rep started slightly conservative due to pace confusion but pacing stabilized well in the following reps. Effort remained controlled (RPE 4) and aerobic strength is clearly returning after the injury break. This was a strong quality workout with good pacing discipline and no foot issues, setting up the remainder of the week and the upcoming long run well."
,5/3/2026,"10–12 km
5:35–5:50/km",8.57k@45:22/5:18,2,,"Was too hungry and cold so I cut short the session, was struggling to get out because of the cold.","Easy run shortened to 8.57 km due to cold weather and hunger, but effort remained very low (RPE 2) and the run served as light aerobic recovery after the previous day’s threshold session. Although pace drifted slightly faster than intended, overall fatigue appears controlled and the adjustment likely helps maintain freshness heading into the upcoming marathon-specific long run."
,6/3/2026,"8–10 km total

Inside:
4–5 km @ 4:55–5:00/km",,,,,
,7/3/2026,"30–31 km max

Structure:
	•	18–20 km @ 5:25–5:40
	•	8 km @ 4:55–5:00
	•	2–3 km easy",31.25k@2:38:01/5:03,4,,"Seeing the split my pace was pretty stable, I was staying around 5min all the time. I stopped quite a lot at the end of the run as I'll have to wait for the lights. Also the wind is too strong that blows until I couldn't stand up straight. I didn't feel tired until around 2x k, maybe coming back the wind is blowing too strong causing me to not able to run properly. I know the pace was faster than expected but I didn't force it just running naturally.",
,8/3/2026,,,,,,
,9/3/2026,,,,,,
,10/3/2026,"10–12 km easy

Pace: 5:35–5:50/km",10.51k@53:42/5:07,2,,"Light jog, surprisingly light my body is after the skiing trip. Maybe resting for a day did help, and some caffeine.","Easy recovery run of 10.5 km completed after a rest day following the long run and skiing weekend. Effort remained very low (RPE 2) despite a slightly faster pace, suggesting good recovery and adaptation to the previous training load. Legs felt light and relaxed, indicating readiness to resume structured workouts later in the week."
,11/3/2026,"10–11 km

Pace: 5:30–5:45/km",11.10k@1:00:27/5:27,1,,"Really easy run, had a dinner in the middle and start picking up the run so not even running fast","Easy recovery run at very low effort. Despite averaging 5:27/km, the run felt effortless (RPE 1), indicating good recovery from the previous long run and skiing fatigue. The mid-run dinner stop made the session even more relaxed, and the purpose of the run—maintaining aerobic volume while keeping the legs fresh—was achieved. Overall a positive sign that fatigue is under control and the body is ready for the upcoming marathon-pace workout."
,12/3/2026,"16 km
        •        3 km easy
        •        10 km @ marathon pace (4:28–4:32)
        •        3 km cool down
","3.49k@18:10
10.02k@44:31/4:27
3.49k@19:19",5,,"It was actually easier than I expected, when I first started my 10k I felt outside of my calves is pretty tight. My only thought is can I kept this on for the full marathon? I haven't been doing speed session throughout my program, especially after my injury. After the rest, at the second half of 5k it actually felt easier, at the end there was a guy with also 4min pace and I follow for a while. I can follow through and I can still finish strong and went a bit faster too. However after going faster for around 2k I felt bit tired and last jog is essential to cool down.","Strong marathon-pace workout. After a 3 km warm-up, completed 10 km at 4:27/km, slightly faster than the planned marathon pace range. The outer calves felt tight at the beginning, but the pace settled after a few kilometers and the effort became smoother. Following another runner in the later stage helped maintain rhythm, and a small surge for about 2 km showed there was still energy in reserve. Fatigue appeared after the faster segment, making the cooldown jog important for recovery. Overall a very positive session indicating marathon pace is sustainable and controlled."
,13/3/2026,"8–10 km easy

5:35–5:50/km",,,,,
,14/3/2026,"32 km

Wear the Adidas Adizero Adios Pro 4

Structure:

• 18 km @ 5:25–5:35/km
• 10 km @ 4:28–4:32/km (MP)
• 4 km easy cool down",,,,,
,15/3/2026,,36.08k@2:53:51/4:49,5,,"Good weather for a long run. I was wearing my pro4 and it was better than I expected, at the start I am slowly going 5:20 effort but it became 5min pace. I run until 20k to ramp up the pace since I had a friend running marathon at the same route. I have been waiting a bit and wait to take a photo of him, that's why the distance was longer, I wasn't meant to exceed 32k. The rpe should be 4 but this long run I follow my friend for a while and he is finishing with 240. I followed for around a k or 2 then I go back to my marathon pace. But it's good to run with a friend and took some photo with him. It makes this long run split into a few parts only,","Final long run before taper completed with stronger-than-planned pace. Intended 32 km progressed to 36 km due to waiting for and briefly running with a friend on the course. Pace naturally drifted faster early (around 5:00/km) despite aiming for 5:25–5:35, and the MP section was mixed with a short faster segment while following the friend finishing a 2:40 marathon. RPE slightly higher than planned (5 vs 4), but overall effort remained controlled. The run served as a good race simulation in the Adidas Adizero Adios Pro 4, confirming comfort and efficiency over long distance. Endurance felt solid and the run was mentally easier by breaking it into segments while meeting the friend on course."
,16/3/2026,,,,,,
,17/3/2026,,,,,,
,18/3/2026,"•	3 km easy
	•	5 km @ marathon pace (~4:30/km)
	•	2 km easy","3.47k@17:50
5.23k@22:54/4:22
1.21k@5:53",4,,"The 5k was faster than I expected but I actually stop for a few times, I'm waiting at the light so I got some time to catch my breath. I am a bit tired though but maybe that's since I was not following the pace but faster. It was not too tired at the end but starting and in the middle for me I felt like keeping the pace at that would be a bit hard.","Short marathon-pace session during taper phase. The 5 km segment was run faster than planned at 4:22/km, partly due to inconsistent pacing and interruptions from traffic lights. Effort felt slightly harder than expected, especially early and mid-run, likely influenced by residual fatigue from the recent 36 km long run. Despite this, the session was completed without major struggle. Overall, a normal taper-phase workout where legs feel slightly heavy, but no negative signals."
,19/3/2026,8–10 km easy,8.39k@45:18/5:24,1,,"Real easy run, go for dinner in the middle and continue","Solid easy run exactly as intended for this stage of the taper. The pace stayed comfortably within range and the overall effort was clearly low, which is the main goal right now. Stopping mid-run didn’t negatively impact the session—if anything, it reflects a relaxed mindset and low accumulated stress, both positive signs this close to race day. Legs are moving, fatigue is coming down, and there’s no indication of overreaching. Continue to keep runs easy and controlled, focusing on freshness rather than structure or performance."
,20/3/2026,,,,,,
,21/3/2026,,,,,,
,22/3/2026,12–14 km easy,12.75k@1:03:42/5:00,2,,"Moved to Sunday since Saturday was busy. Stopped a few times as there was a race at my usual running route, I did raise my pace at last few km but not strictly around 430 but a bit slower. Ranging from 423 to 441, but I think this is a good tapering long run ","Steady taper run with good overall control. Pace was slightly quicker than typical easy effort but remained comfortable and did not turn into a hard session. The faster closing kilometers provided a light marathon pace stimulus without adding fatigue, which is appropriate at this stage. Interruptions during the run did not impact the purpose of the session. Overall, this was an effective taper run that maintained rhythm while allowing continued recovery."
,23/3/2026,"6–8 km easy
Pace: ~5:20–5:40/km",5.75k@31:34/5:30,1,,"Easy run, cut short since hungry","Easy taper run executed within target pace range. Shortening the run due to hunger did not impact the purpose of the session, as overall intensity remained low and controlled. This continues to support recovery while maintaining movement during the taper phase. No concerns from this run, and overall progression toward race readiness remains on track."
,24/3/2026,,,,,,
,25/3/2026,"~7–9 km total
	•	2 km easy
	•	3–4 km @ MP (4:28–4:32/km)
	•	1–2 km easy",,,,,
,26/3/2026,5–6 km very easy + strides,5.35k@26:17/4:55,3,,"Chill jog and 2k mp as the modify program, I should be not going to full mp but chilling a bit. Overall a easy run just to get warm up before the race","Short taper session executed well with controlled effort throughout. The inclusion of a brief marathon pace segment served as a light neuromuscular reminder without introducing fatigue. Overall intensity remained appropriate for race week, and the run achieved its purpose of keeping the legs responsive while maintaining freshness. No concerns at this stage, and readiness for race day is on track."
,27/3/2026,,,,,,
,28/3/2026,,,,,,
,29/3/2026,FUKUI MARATHON!,42.25k@3:18:34/4:42,8,,"I was very upset about this race. The first 30k was perfectly executed race. I managed to keep every km in 430 pace, you know there was even a Japanese came and thank me for such steady pace and he can follow quite comfortably. In the first 30k I was thinking I can do this forever, nothing would happen and I can do 310 since the execution was so perfect. But the temperatures creeps from 13 to 19 and the sun is directly shinning without any shades to us after 30k. I still felt ok on my breath but I felt a little cramp in my back of my calves. I said to myself it was normal and I had cramping every time I did a full marathon. This time was different, once a few steps there was another cramp, my pace dropped to 440 but I still felt I can managed it just add more at the end. But until one point the cramping was so strong that I cannot bend my legs anymore and I felt to the ground, there was instantly staff asking if I'm alright and helped me do massaging, it was better after that and I can run a little bit. But it was dropping to slow jog pace and the cramping still happens from time to time. I felt like I can do 310 this time since it was like a easy run for the first 30k, I still didn't felt very exhausted until the end, if my legs were better I can definitely perform better. Weather is a very crucial factor and luck was not ok my side this time. I felt so frustrated after this race since I've been preparing for so long, despite my injury I still kept my training.",
,30/3/2026,,,,,,
,31/3/2026,,,,,,
,1/4/2026,,,,,,
,2/4/2026,,,,,,
,3/4/2026,,,,,,
,4/4/2026,,,,,,
,5/4/2026,,,,,,
